LEARNING_OBJECTIVE, NUMBER_RIGHT, NUMBER_WRONG
"Install and configure laptop hardware and components, including replacing the battery, keyboard/keys, RAM, migrating HDD/SSD, replacing HDD/SSD, and wireless cards. Additionally, it includes understanding and implementing physical privacy and security components such as biometrics and near-field scanner features.",0,0
"Compare and contrast the display components of mobile devices, including types such as Liquid Crystal Display (LCD), In-plane switching (IPS), Twisted nematic (TN), Vertical alignment (VA), and Organic light-emitting diode (OLED). Additionally, the objective involves examining other mobile display components such as WiFi antenna connector/placement, camera/webcam, microphone, touch screen/digitizer, and inverter.",0,0
"Set up and configure accessories and ports of mobile devices, including connection methods such as Universal Serial Bus (USB)/USB-C/microUSB/miniUSB, Lightning, serial interfaces, Near-field communication (NFC), Bluetooth, and hotspot. Additionally, it involves configuring accessories like touch pens, headsets, speakers, and webcams, as well as understanding docking stations, port replicators, and trackpads/drawing pads.",0,0
"Configure basic mobile-device network connectivity and application support. This includes enabling/disabling wireless/cellular data networks such as 2G/3G/4G/5G and hotspot, understanding GSM and CDMA, updating Preferred Roaming List (PRL), enabling Bluetooth, pairing devices, entering PIN codes, testing connectivity, utilizing location services like GPS and cellular location services, managing mobile device through MDM/MAM, configuring corporate email and applications, setting up account synchronization for Microsoft 365, Google Workspace, and iCloud, selecting data to synchronize (mail, photos, calendar, contacts), and recognizing data caps.",0,0
"Compare and contrast Transmission Control Protocol (TCP) and User Datagram Protocol (UDP) ports, protocols, and their purposes. The student is expected to understand the following ports and protocols: 20/21 (File Transfer Protocol - FTP), 22 (Secure Shell - SSH), 23 (Telnet), 25 (Simple Mail Transfer Protocol - SMTP), 53 (Domain Name System - DNS), 67/68 (Dynamic Host Configuration Protocol - DHCP), 80 (Hypertext Transfer Protocol - HTTP), 110 (Post Office Protocol 3 - POP3), 137/139 (Network Basic Input/Output System - NetBIOS/NetBIOS over TCP/IP - NetBT), 143 (Internet Mail Access Protocol - IMAP), 161/162 (Simple Network Management Protocol - SNMP), 389 (Lightweight Directory Access Protocol - LDAP), 443 (Hypertext Transfer Protocol Secure - HTTPS), 445 (Server Message Block - SMB/Common Internet File System - CIFS), and 3389 (Remote Desktop Protocol - RDP). The student should also understand the differences between TCP and UDP, such as TCP being connection-oriented and UDP being connectionless. Examples of connectionless protocols include DHCP and Trivial File Transfer Protocol (TFTP), while examples of connection-oriented protocols include HTTPS and SSH.",0,0
"Comprehensively understanding and differentiating various types of networking hardware. This includes comparing and contrasting the following components: routers, switches (both managed and unmanaged), access points, patch panels, firewalls, Power over Ethernet (PoE) devices such as injectors and PoE switches, different PoE standards, hubs, cable modems, Digital Subscriber Line (DSL) technology, Optical Network Terminals (ONT), Network Interface Cards (NIC), and Software-Defined Networking (SDN). By the end of the learning process, the student should have a clear understanding of the features, functionalities, and distinctions between these common networking hardware components.",0,0
"The learning objective entails gaining a comprehensive understanding of various protocols used in wireless networking and the ability to compare and contrast them effectively. The objective includes the exploration of different frequencies utilized in wireless networking, namely the 2.4GHz and 5GHz bands. It also encompasses the study of channels and their regulations, as well as the comparison between the 2.4GHz and 5GHz frequencies. Moreover, the objective involves delving into Bluetooth technology and the various iterations of the 802.11 wireless standard, such as a, b, g, n, ac (WiFi 5), and ax (WiFi 6). Additionally, the objective incorporates the examination of long-range fixed wireless communication, both in licensed and unlicensed spectrums, considering aspects such as power and regulatory requirements for wireless power. Furthermore, the objective requires understanding NFC (Near Field Communication) and the use of radio-frequency identification (RFID) in wireless networks. Overall, the learning objective entails acquiring a comprehensive knowledge of these protocols and technologies, enabling students to make meaningful comparisons and contrasts among them.",0,0
"The learning objective focuses on summarizing the services provided by networked hosts. These services can be categorized into different areas. Firstly, in terms of server roles, students are expected to understand the following services: DNS (Domain Name System) which translates domain names to IP addresses, DHCP (Dynamic Host Configuration Protocol) which assigns IP addresses to devices on a network, fileshare for sharing files among network users, print servers for managing network printers, mail servers for handling email communication, syslog for collecting and storing system logs, web servers for hosting websites, and AAA (Authentication, Authorization, and Accounting) for managing user access to network resources. Additionally, students should be aware of various internet appliances such as spam gateways for filtering and blocking spam emails, UTM (Unified Threat Management) devices for comprehensive network security, load balancers for distributing network traffic across multiple servers, and proxy servers for acting as intermediaries between clients and other servers. Legacy and embedded systems, such as SCADA (Supervisory Control and Data Acquisition), are also covered, which involve controlling and monitoring industrial processes. Finally, students should have an understanding of IoT (Internet of Things) devices, which are networked devices that collect and exchange data, enabling automation and remote control.",0,0
"The learning objective is for the student to acquire the knowledge and skills necessary to install and configure basic wired/wireless small office/home office (SOHO) networks. This includes understanding Internet Protocol (IP) addressing for both IPv4 and IPv6. For IPv4, the student should be familiar with private addresses, which are used within local networks, as well as public addresses, which are assigned by Internet Service Providers (ISPs) for devices to communicate over the internet. They should also comprehend the concept of Automatic Private IP Addressing (APIPA), which allows devices to assign themselves IP addresses if no DHCP server is available. The student should be able to configure IP addresses statically (manually assigning addresses) or dynamically (using a DHCP server to automatically assign addresses). Additionally, the student should understand the role of gateways in network communication and how to configure them effectively.",0,0
"The learning objective requires the student to learn and understand several network configuration concepts. Firstly, the student should be able to compare and contrast the different aspects of DNS (Domain Name System), including address types such as A and AAAA, mail exchanger (MX) records, and text (TXT) records. Additionally, the student should learn about spam management techniques, specifically DomainKeys Identified Mail (DKIM), Sender Policy Framework (SPF), and Domain-based Message Authentication, Reporting, and Conformance (DMARC). Moving on to DHCP (Dynamic Host Configuration Protocol), the student should grasp the concepts of leases, reservations, and scope in relation to IP address assignment. The student should also familiarize themselves with Virtual LAN (VLAN) technology, which involves logically segmenting a network, and understand the basics of a Virtual Private Network (VPN) for secure remote access. By the end of the learning objective, the student should be able to compare and contrast these network configuration concepts effectively.",0,0
"The learning objective entails comprehensively understanding and differentiating various types of Internet connections and network types, along with their distinctive features. Concerning Internet connection types, students are expected to explore and compare satellite, fiber, cable, DSL, cellular, and wireless Internet service provider (WISP) connections. Similarly, in terms of network types, learners should be able to distinguish between local area networks (LANs), wide area networks (WANs), personal area networks (PANs), metropolitan area networks (MANs), storage area networks (SANs), and wireless local area networks (WLANs). By the end of the learning process, students should possess a thorough grasp of the characteristics, advantages, and drawbacks of each connection and network type, enabling them to make informed comparisons and contrasts.",0,0
"The learning objective is for the student to gain proficiency in using various networking tools in different scenarios. These tools include a crimper, which is used to attach connectors to the ends of network cables securely. A cable stripper is another tool necessary for removing the outer insulation of network cables before termination. Understanding and utilizing a WiFi analyzer is essential for troubleshooting wireless network issues by analyzing signal strength, channel interference, and other relevant parameters. The toner probe is a tool used to trace and locate cables within a network infrastructure. A punchdown tool is utilized to terminate network cables onto punchdown blocks or patch panels. A cable tester is essential for verifying cable continuity, identifying wiring faults, and ensuring proper network connectivity. To diagnose issues in local network connections, a loopback plug is employed to test the functionality of network ports. Lastly, a network tap is a device used to intercept and monitor network traffic, enabling analysis or security monitoring. Mastery of these networking tools allows the student to effectively troubleshoot, install, and maintain network infrastructure in various scenarios.",0,0
"The learning objective requires the student to gain an understanding of various cable types, their connectors, features, and purposes. The different cable types include network cables, peripheral cables, video cables, and hard drive cables. In the category of network cables, the student should learn about copper cables such as Cat 5, Cat 5e, Cat 6, Cat 6a, coaxial cables, shielded twisted pair cables (including direct burial and unshielded variants), and plenum cables. Additionally, the student should understand optical fiber cables and the T568A/T568B wiring standards. Moving on to peripheral cables, the student should be familiar with USB 2.0, USB 3.0, serial, and Thunderbolt cables. Video cables encompass HDMI, DisplayPort, DVI, and VGA cables. The student should also learn about hard drive cables like SATA, SCSI, eSATA, and IDE. Furthermore, the student should become acquainted with adapters and various connector types such as RJ11, RJ45, F type, ST, SC, LC, punchdown block, microUSB, miniUSB, USB-C, Molex, Lightning port, and DB9.",0,0
"The learning objective focuses on the student's ability to install the appropriate RAM in a given scenario. The objective encompasses various RAM types, including Virtual RAM, Small Outline Dual Inline Memory Module (SODIMM), Double Data Rate 3 (DDR3), Double Data Rate 4 (DDR4), Double Data Rate 5 (DDR5), and Error Correction Code (ECC) RAM. Additionally, the objective expects the student to understand different RAM channel configurations, such as single-channel, dual-channel, triple-channel, and quad-channel. By the end of the learning process, the student should have the knowledge and skills necessary to identify the suitable RAM type for a given situation and install it correctly, considering the appropriate channel configuration.",0,0
